InvoiceLineID,Description,CustomerName,CityState,Sales
221915,Black and orange glass with care despatch tape 48mmx75m,"Wingtip Toys (Delray, WV)",Delray (West Virginia),101
221916,Shipping carton (Brown) 305x305x305mm,Kumar Naicker,Oconto Falls (Wisconsin),105
222076,RC toy sedan car with remote control (Red) 1/50 scale,"Tailspin Toys (Sylvanite, MT)",Sylvanite (Montana),15
222077,"""The Gu"" red shirt XML tag t-shirt (Black) 7XL","Tailspin Toys (Sylvanite, MT)",Sylvanite (Montana),65
222078,Ogre battery-powered slippers (Green) L,"Tailspin Toys (Sylvanite, MT)",Sylvanite (Montana),43
221917,"""The Gu"" red shirt XML tag t-shirt (White) XS","Tailspin Toys (Gasport, NY)",Gasport (New York),162
221952,"""The Gu"" red shirt XML tag t-shirt (White) 3XS","Tailspin Toys (Gasport, NY)",Gasport (New York),162
221953,"""The Gu"" red shirt XML tag t-shirt (White) 3XL","Tailspin Toys (Gasport, NY)",Gasport (New York),65
221954,"Developer joke mug - (hip, hip, array) (White)","Tailspin Toys (Gasport, NY)",Gasport (New York),18
221955,20 mm Double sided bubble wrap 50m,"Tailspin Toys (Gasport, NY)",Gasport (New York),1620
221918,"""The Gu"" red shirt XML tag t-shirt (White) M","Tailspin Toys (Lake Stevens, WA)",Lake Stevens (Washington),194
222106,Permanent marker black 5mm nib (Black) 5mm,"Tailspin Toys (Lake Stevens, WA)",Lake Stevens (Washington),38
222107,"""The Gu"" red shirt XML tag t-shirt (White) 3XS","Tailspin Toys (Lake Stevens, WA)",Lake Stevens (Washington),130
222108,Void fill 300 L bag (White) 300L,"Tailspin Toys (Lake Stevens, WA)",Lake Stevens (Washington),171
222109,Plush shark slippers (Gray) L,"Tailspin Toys (Lake Stevens, WA)",Lake Stevens (Washington),48
222110,Halloween zombie mask (Light Brown) L,"Tailspin Toys (Lake Stevens, WA)",Lake Stevens (Washington),97
221920,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL","Tailspin Toys (Tierra Verde, FL)",Tierra Verde (Florida),97
222429,USB rocket launcher (Gray),"Tailspin Toys (Tierra Verde, FL)",Tierra Verde (Florida),4
222430,Black and orange fragile despatch tape 48mmx100m,"Tailspin Toys (Tierra Verde, FL)",Tierra Verde (Florida),216
222431,DBA joke mug - mind if I join you? (White),"Tailspin Toys (Tierra Verde, FL)",Tierra Verde (Florida),18
221921,"""The Gu"" red shirt XML tag t-shirt (White) 5XL","Tailspin Toys (Astor Park, FL)",Astor Park (Florida),97
221922,Animal with big feet slippers (Brown) S,Som Mukherjee,Moroni (Utah),38
222364,32 mm Double sided bubble wrap 50m,"Tailspin Toys (Frankewing, TN)",Frankewing (Tennessee),1176
222365,10 mm Anti static bubble wrap (Blue) 50m,"Tailspin Toys (Frankewing, TN)",Frankewing (Tennessee),1337
222366,USB food flash drive - hot dog,"Tailspin Toys (Frankewing, TN)",Frankewing (Tennessee),7
222367,Halloween zombie mask (Light Brown) S,"Tailspin Toys (Frankewing, TN)",Frankewing (Tennessee),162
221923,Ride on toy sedan car (Red) 1/12 scale,"Wingtip Toys (Trout Run, PA)",Trout Run (Pennsylvania),207
221924,Ogre battery-powered slippers (Green) S,"Wingtip Toys (Trout Run, PA)",Trout Run (Pennsylvania),19
222865,Black and orange this way up despatch tape  48mmx100m,"Tailspin Toys (Bow Mar, CO)",Bow Mar (Colorado),144
222866,Black and orange fragile despatch tape 48mmx100m,"Tailspin Toys (Bow Mar, CO)",Bow Mar (Colorado),216
222867,20 mm Double sided bubble wrap 20m,"Tailspin Toys (Bow Mar, CO)",Bow Mar (Colorado),50
221925,Shipping carton (Brown) 229x229x229mm,Chandana Shasthri,Nesmith (South Carolina),23
221926,Medium sized bubblewrap roll 20m,Chandana Shasthri,Nesmith (South Carolina),300
221927,Halloween zombie mask (Light Brown) M,Chandana Shasthri,Nesmith (South Carolina),259
221928,Superhero action jacket (Blue) 4XL,Chandana Shasthri,Nesmith (South Carolina),26
222881,Halloween skull mask (Gray) S,Chandana Shasthri,Nesmith (South Carolina),227
222882,USB rocket launcher (Gray),Chandana Shasthri,Nesmith (South Carolina),4
222883,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",Chandana Shasthri,Nesmith (South Carolina),162
221929,Superhero action jacket (Blue) XXS,"Wingtip Toys (Lilbourn, MO)",Lilbourn (Missouri),30
221930,Black and orange glass with care despatch tape  48mmx100m,"Wingtip Toys (Lilbourn, MO)",Lilbourn (Missouri),130
221931,IT joke mug - that behavior is by design (Black),"Wingtip Toys (Lilbourn, MO)",Lilbourn (Missouri),16
221932,Black and yellow heavy despatch tape 48mmx100m,"Wingtip Toys (Lilbourn, MO)",Lilbourn (Missouri),101
222362,Superhero action jacket (Blue) S,"Wingtip Toys (Lilbourn, MO)",Lilbourn (Missouri),19
222363,"""The Gu"" red shirt XML tag t-shirt (Black) 3XS","Wingtip Toys (Lilbourn, MO)",Lilbourn (Missouri),324
222538,Red and white urgent  heavy despatch tape  48mmx100m,"Tailspin Toys (East Fultonham, OH)",East Fultonham (Ohio),101
222539,DBA joke mug - you might be a DBA if (Black),"Tailspin Toys (East Fultonham, OH)",East Fultonham (Ohio),8
222540,Plush shark slippers (Gray) XL,"Tailspin Toys (East Fultonham, OH)",East Fultonham (Ohio),38
221935,"""The Gu"" red shirt XML tag t-shirt (White) XXS",Allan Mannik,Lake Crystal (Minnesota),97
222501,Ride on toy sedan car (Black) 1/12 scale,Allan Mannik,Lake Crystal (Minnesota),104
