CustomerID,CustomerName,CustomerCategoryName,PrimaryContact,PhoneNumber,FaxNumber,WebsiteURL,DeliveryMethod,CityProvince
1,Tailspin Toys (Head Office),Novelty Shop,Waldemar Fisar,(308) 555-0100,(308) 555-0101,http://www.tailspintoys.com,Delivery Van,Lisco (Nebraska)
2,"Tailspin Toys (Sylvanite, MT)",Novelty Shop,Lorena Cindric,(406) 555-0100,(406) 555-0101,http://www.tailspintoys.com/Sylvanite,Delivery Van,Sylvanite (Montana)
3,"Tailspin Toys (Peeples Valley, AZ)",Novelty Shop,Bhaargav Rambhatla,(480) 555-0100,(480) 555-0101,http://www.tailspintoys.com/PeeplesValley,Delivery Van,Peeples Valley (Arizona)
4,"Tailspin Toys (Medicine Lodge, KS)",Novelty Shop,Daniel Roman,(316) 555-0100,(316) 555-0101,http://www.tailspintoys.com/MedicineLodge,Delivery Van,Medicine Lodge (Kansas)
5,"Tailspin Toys (Gasport, NY)",Novelty Shop,Johanna Huiting,(212) 555-0100,(212) 555-0101,http://www.tailspintoys.com/Gasport,Delivery Van,Gasport (New York)
6,"Tailspin Toys (Jessie, ND)",Novelty Shop,Biswajeet Thakur,(701) 555-0100,(701) 555-0101,http://www.tailspintoys.com/Jessie,Delivery Van,Jessie (North Dakota)
7,"Tailspin Toys (Frankewing, TN)",Novelty Shop,Kalidas Nadar,(423) 555-0100,(423) 555-0101,http://www.tailspintoys.com/Frankewing,Delivery Van,Frankewing (Tennessee)
8,"Tailspin Toys (Bow Mar, CO)",Novelty Shop,Kanti Kotadia,(303) 555-0100,(303) 555-0101,http://www.tailspintoys.com/BowMar,Delivery Van,Bow Mar (Colorado)
9,"Tailspin Toys (Netcong, NJ)",Novelty Shop,Sointu Aalto,(201) 555-0100,(201) 555-0101,http://www.tailspintoys.com/Netcong,Delivery Van,Netcong (New Jersey)
10,"Tailspin Toys (Wimbledon, ND)",Novelty Shop,Siddhartha Parkar,(701) 555-0100,(701) 555-0101,http://www.tailspintoys.com/Wimbledon,Delivery Van,Wimbledon (North Dakota)
11,"Tailspin Toys (Devault, PA)",Novelty Shop,Elnaz Javan,(215) 555-0100,(215) 555-0101,http://www.tailspintoys.com/Devault,Delivery Van,Devault (Pennsylvania)
12,"Tailspin Toys (Biscay, MN)",Novelty Shop,Heloisa Fernandes,(218) 555-0100,(218) 555-0101,http://www.tailspintoys.com/Biscay,Delivery Van,Biscay (Minnesota)
13,"Tailspin Toys (Stonefort, IL)",Novelty Shop,Razeena Hosseini,(217) 555-0100,(217) 555-0101,http://www.tailspintoys.com/Stonefort,Delivery Van,Stonefort (Illinois)
14,"Tailspin Toys (Long Meadow, MD)",Novelty Shop,Tereza Valentova,(240) 555-0100,(240) 555-0101,http://www.tailspintoys.com/LongMeadow,Delivery Van,Long Meadow (Maryland)
15,"Tailspin Toys (Batson, TX)",Novelty Shop,Filips Jaunzems,(210) 555-0100,(210) 555-0101,http://www.tailspintoys.com/Batson,Delivery Van,Batson (Texas)
16,"Tailspin Toys (Coney Island, MO)",Novelty Shop,Nitin Matondkar,(314) 555-0100,(314) 555-0101,http://www.tailspintoys.com/ConeyIsland,Delivery Van,Coney Island (Missouri)
17,"Tailspin Toys (East Fultonham, OH)",Novelty Shop,Adam Kubat,(216) 555-0100,(216) 555-0101,http://www.tailspintoys.com/EastFultonham,Delivery Van,East Fultonham (Ohio)
18,"Tailspin Toys (Goffstown, NH)",Novelty Shop,Isabelle Vodlan,(603) 555-0100,(603) 555-0101,http://www.tailspintoys.com/Goffstown,Delivery Van,Goffstown (New Hampshire)
19,"Tailspin Toys (Lemeta, AK)",Novelty Shop,Mithun Bhattacharya,(907) 555-0100,(907) 555-0101,http://www.tailspintoys.com/Lemeta,Delivery Van,Lemeta (Alaska)
20,"Tailspin Toys (College Place, WA)",Novelty Shop,Nghi Hua,(206) 555-0100,(206) 555-0101,http://www.tailspintoys.com/CollegePlace,Delivery Van,College Place (Washington)
21,"Tailspin Toys (Tresckow, PA)",Novelty Shop,Duleep Raju,(215) 555-0100,(215) 555-0101,http://www.tailspintoys.com/Tresckow,Delivery Van,Tresckow (Pennsylvania)
22,"Tailspin Toys (Ward Ridge, FL)",Novelty Shop,Cristina Longo,(239) 555-0100,(239) 555-0101,http://www.tailspintoys.com/WardRidge,Delivery Van,Ward Ridge (Florida)
23,"Tailspin Toys (Ikatan, AK)",Novelty Shop,Hang Tang,(907) 555-0100,(907) 555-0101,http://www.tailspintoys.com/Ikatan,Delivery Van,Ikatan (Alaska)
24,"Tailspin Toys (Dundarrach, NC)",Novelty Shop,Intira Mookjai,(252) 555-0100,(252) 555-0101,http://www.tailspintoys.com/Dundarrach,Delivery Van,Dundarrach (North Carolina)
25,"Tailspin Toys (Avenal, CA)",Novelty Shop,Sulabha Khalsa,(209) 555-0100,(209) 555-0101,http://www.tailspintoys.com/Avenal,Delivery Van,Avenal (California)
26,"Tailspin Toys (Hedrick, IA)",Novelty Shop,Dhanishta Majji,(319) 555-0100,(319) 555-0101,http://www.tailspintoys.com/Hedrick,Delivery Van,Hedrick (Iowa)
